,PageID,VisitID,PageName,CatName,CatID,ExtCatName,ExtCatID,TopicName,TopicID,TimeOnPage,PageScore,SequenceNumber,Referrer,Day,Hour,Length_seconds,Length_pagecount,Type
13192,3065,6857,CATALOG,Info,4,Send catalog,7,In general,1000,"(82.2, 134.4]",444,15,URI_111,Monday,16.0,1380.0,22.0,
13367,3065,6946,CATALOG,Info,4,Send catalog,7,In general,1000,"(82.2, 134.4]",286,4,URI_9,Monday,21.0,240.0,4.0,Catalogue
13439,3065,6988,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",62,3,URI_80,Tuesday,0.0,60.0,5.0,Fulltext
13465,3065,6998,CATALOG,Info,4,Send catalog,7,In general,1000,"(82.2, 134.4]",251,3,URI_45,Tuesday,6.0,300.0,3.0,Fulltext
13531,3065,7025,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",71,4,URI_64,Tuesday,8.0,60.0,4.0,Partners
13557,3065,7033,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",143,4,URI_42,Tuesday,8.0,900.0,11.0,Fulltext
13951,3065,7242,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",184,8,URI_45,Tuesday,15.0,540.0,8.0,Fulltext
14044,3065,7282,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",92,8,URI_9,Tuesday,16.0,360.0,8.0,Catalogue
14207,3065,7357,CATALOG,Info,4,Send catalog,7,In general,1000,"(82.2, 134.4]",120,1,URI_34,Tuesday,19.0,120.0,2.0,
14301,3065,7414,CATALOG,Info,4,Send catalog,7,In general,1000,"(82.2, 134.4]",313,5,URI_39,Wednesday,0.0,780.0,5.0,Fulltext
14357,3065,7435,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",71,4,URI_95,Wednesday,7.0,60.0,5.0,Partners
14523,3065,7511,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",101,2,URI_0,Wednesday,10.0,600.0,8.0,
14643,3065,7551,CATALOG,Info,4,Send catalog,7,In general,1000,"(134.4, 186.6]",469,5,URI_9,Wednesday,12.0,600.0,11.0,Catalogue
14756,3065,7601,CATALOG,Info,4,Send catalog,7,In general,1000,"(82.2, 134.4]",203,2,URI_0,Wednesday,14.0,60.0,2.0,
14835,3065,7633,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",143,4,URI_64,Wednesday,15.0,420.0,16.0,Partners
14878,3065,7655,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",60,1,URI_111,Wednesday,15.0,420.0,6.0,
15149,3065,7768,CATALOG,Info,4,Send catalog,7,In general,1000,"(82.2, 134.4]",203,2,URI_0,Wednesday,22.0,240.0,6.0,
15302,3065,7834,CATALOG,Info,4,Send catalog,7,In general,1000,"(82.2, 134.4]",120,1,URI_111,Thursday,10.0,420.0,5.0,
15338,3065,7846,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",125,3,URI_42,Thursday,10.0,60.0,3.0,Fulltext
15354,3065,7851,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",50,2,URI_0,Thursday,11.0,1500.0,12.0,
