,PageID,VisitID,PageName,CatName,CatID,ExtCatName,ExtCatID,TopicName,TopicID,TimeOnPage,PageScore,SequenceNumber,Referrer,Day,Hour,Length_seconds,Length_pagecount,Type
18615,3075,9200,WHOWEARE,Info,4,Who we are,10,In general,1000,"(291.0, 343.2]",507,2,URI_42,Tuesday,8.0,780.0,9.0,Fulltext
18673,3138,9223,INSURANCE,Info,1,Insurance,6,In general,1000,"(27.39, 82.2]",125,3,URI_45,Tuesday,9.0,60.0,3.0,Fulltext
18723,3066,9235,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",101,2,URI_0,Tuesday,10.0,2520.0,20.0,
19007,3066,9328,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",101,2,URI_0,Tuesday,11.0,360.0,9.0,
19176,3075,9395,WHOWEARE,Info,4,Who we are,10,In general,1000,"(134.4, 186.6]",304,2,URI_132,Tuesday,13.0,300.0,3.0,OwnWebs
19338,3066,9437,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",101,2,URI_65,Tuesday,14.0,120.0,4.0,Other
19432,3066,9465,DISCOUNT,Info,4,Sales,8,In general,1000,"(82.2, 134.4]",286,4,URI_0,Tuesday,14.0,480.0,5.0,
19533,3075,9506,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",60,1,URI_111,Tuesday,15.0,360.0,4.0,
19590,3075,9528,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",60,1,URI_113,Tuesday,16.0,600.0,8.0,
19591,3075,9528,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",88,7,URI_113,Tuesday,16.0,600.0,8.0,
19605,3075,9534,WHOWEARE,Info,4,Who we are,10,In general,1000,"(82.2, 134.4]",203,2,URI_39,Tuesday,16.0,1440.0,7.0,Fulltext
19898,3075,9685,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",125,3,URI_0,Tuesday,23.0,480.0,5.0,
20101,3075,9774,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",78,5,URI_0,Wednesday,9.0,180.0,7.0,
